"deeplink","Domain","host","tld","domaincc","keywords","LE","BL","DP","LP","CCP","IPP","ABY","ACR","WBY","Registrar","Alexa","QCR","Dmoz","Add Date","C","N","O","B","I","D","US","COM.AU","CA","UK","CO.UK","CO","EU","IN","CO.IN","AT","CH","BE","NL","DK","FR","PL","ES","PT","IT","ME","TV","IO","CN","RU","SE","NU","TLDs Reg","TLDs Reg32","TLDs Free32","SG","CO","CPC","SDE","CODE","CPCDE","SUS","COUS","CPCUS","SUK","COUK","CPCUK","MMGR","MMIP","MMCP","SQI","NFB","NTW","CF","TF","TR","MBL","MIU","MCU","MDP","MIP","MCP","TTF","MODE","MOLE","MOLI","MOLP","MRDL","MRDF","MRDH","MRDD","MRDS","ML","MLTP","MRL","MRLP","MDPE","MBLE","MDPG","MBLG","MDPEE","MBLEE","MDPGE","MBLGE","SRUSR","SRUSK","SRUST","SRUSC","RDT","RDS","RDE","RDT COM","RDS COM","RDE COM","RDT CNO","RDS CNO","RDE CNO","WPL","GEO","GEOC","GEOD","Dropped","Status",
"https://www.expireddomains.net/goto/1/23dud2/489/?tr=export","citysex.ee","citysex","ee","CitySex.ee","City Sex","7","103211","24","190","5","5","2011-10-14","73","2018-11-18","Radicenter OÜ","0","0","no","1542546843","registered","registered","registered","available","available","registered","registered","registered","available","available","registered","available","registered","available","available","registered","registered","available","registered","registered","available","available","available","available","available","available","available","available","available","registered","available","available","17","13","19","301000","1","0.85 USD","6600","2","0.41 EUR","40500","1","1.76 USD","9900","0","0.36 GBP","0","0","0","10","taken","taken","14","7","2.00","103211","133","129","14","14","14","7 - Computers/Internet (99.24%), 4 - Adult/Regional (0.54%), 3 - Computers/Education (0.07%), 3 - Adult/World (0.06%)","0","0","0","0","10","12","5","14","0","","0","[Estonian - 99.90%]","103205","0","0","0","0","0","0","0","0","0","0","0","0","103","72","31","94","67","28","102","71","31","0","","","","2018-11-18 13:14","registered",
"https://www.expireddomains.net/goto/1/191inc/489/?tr=export","aip.ee","aip","ee","aip.ee","aip","3","208","0","0","0","0","1999-10-22","2624","2015-10-05","Zone Media OÜ","0","0","no","1542719584","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","169","30","2","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","taken","8","9","0.89","208","34","9","16","13","13","9 - Society/Issues (99.69%), 4 - Computers/Internet (0.16%), 4 - Recreation/Travel (0.13%)","0","0","0","0","16","11","0","16","1","","0","[Estonian - 62.50%], [English - 37.50%]","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-20 13:13","available",
"https://www.expireddomains.net/goto/1/1u5ol3/489/?tr=export","maicometrics.ee","maicometrics","ee","maicometrics.ee","maicometrics","12","147","3","15","3","3","2012-02-04","15","2010-07-04","Zone Media OÜ","0","0","no","1542633183","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","6","2","3.00","147","94","6","11","11","11","2 - Computers/Internet (100.00%)","0","0","0","0","10","11","0","11","2","","0","[Japanese - 63.20%], [Estonian - 33.30%], [Russian - 3.40%]","147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-19 13:13","available",
"https://www.expireddomains.net/goto/1/72y75q/489/?tr=export","marvelos.ee","marvelos","ee","marvelos.ee","Mar VeLos","8","128","1","1","1","1","2015-12-12","14","2015-10-01","Zone Media OÜ","3234439","0","no","1542374043","registered","available","available","available","available","available","available","available","available","registered","available","available","registered","available","available","available","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","4","4","28","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","10","taken","taken","7","9","0.78","128","5635","2086","70","64","60","9 - Computers/Internet (96.20%), 6 - Computers/Education (3.59%), 4 - Reference/Education (0.06%)","0","0","199","489","68","23","0","70","5","[English - 100.00%]","488","[English - 87.50%], [Estonian - 7.80%], [German - 1.50%], [Polish - 1.50%], [Russian - 1.50%]","128","0","0","0","0","0","0","0","0","43172870","8","0","0","8","7","1","7","7","1","8","7","1","0","","","","2018-11-16 13:14","available",
"https://www.expireddomains.net/goto/1/3fpx11/489/?tr=export","ideedekummut.ee","ideedekummut","ee","ideedekummut.ee","Id Eede KuMm Ut","12","105","2","4","2","2","2012-12-11","44","2012-10-02","Zone Media OÜ","0","0","no","1542460442","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","available","13","5","2.60","105","411","312","13","13","13","5 - Business/Directories (96.05%), 3 - Recreation/Travel (3.90%)","1","1","26","294","12","9","1","13","8","[Estonian - 100.00%]","149","[Estonian - 79.00%], [English - 10.40%], [Russian - 5.70%], [Finnish - 3.80%], [Korean - 0.90%]","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-17 13:14","available",
"https://www.expireddomains.net/goto/1/az0haa/489/?tr=export","linnonminu.ee","linnonminu","ee","linnonminu.ee","Lin Non Minu","10","69","1","1","1","1","0000-00-00","0","2016-10-07","Zone Media OÜ","0","0","no","1542892442","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","available","1","0","0.00","69","8","4","8","8","8","-","3","8","1","2","8","8","2","8","2","","0","[Estonian - 100.00%]","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","PA","US","linn>us-city","2018-11-22 13:14","available",
"https://www.expireddomains.net/goto/1/b64e31/489/?tr=export","autodekokkuost.ee","autodekokkuost","ee","autodekokkuost.ee","Au ToDe Kok KuOst","14","68","0","0","0","0","2014-08-22","16","2018-11-16","Zone Media OÜ","0","0","no","1542373983","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","available","5","0","0.00","68","13","7","2","2","1","-","1","1","3","4","2","2","0","2","2","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-16 13:13","registered",
"https://www.expireddomains.net/goto/1/4yaujj/489/?tr=export","ventilatsioonifiltrid.ee","ventilatsioonifiltrid","ee","ventilatsioonifiltrid.ee","Ventil Ats IoOni FiLt Rid","21","57","1","1","1","1","2014-07-16","19","2012-10-02","Radicenter OÜ","0","0","no","1542460442","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","5","0","0.00","57","52","52","5","5","5","-","1","1","18","25","5","5","0","5","2","[Estonian - 66.60%], [English - 33.30%]","6","[English - 41.80%], [Latvian - 30.20%], [Estonian - 13.90%], [Russian - 13.90%]","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-17 13:14","available",
"https://www.expireddomains.net/goto/1/9cfnaa/489/?tr=export","seo-teenus.ee","seo-teenus","ee","Seo-TeenUs.ee","Seo Teen Us","10","44","11","20","10","10","2016-10-18","8","2016-10-05","Zone Media OÜ","0","0","no","1542719585","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","1","1","1.00","44","7","5","12","11","11","1 - Business/Publishing and Printing (99.01%), 1 - Recreation/Travel (0.97%)","0","0","2","3","7","12","0","12","2","","0","[English - 97.70%], [Indonesian - 2.20%]","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-20 13:13","available",
"https://www.expireddomains.net/goto/1/1xd5q5/489/?tr=export","mybeauty.ee","mybeauty","ee","MyBeauty.ee","My Beauty","8","31","3","3","3","3","2010-11-23","29","2018-11-22","Radicenter OÜ","0","0","no","1542806043","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","available","registered","registered","registered","registered","101","29","3","14800","6","0.36 USD","590","4","0.52 EUR","880","5","0.92 USD","590","7","0.39 GBP","0","0","0","0","taken","taken","6","1","6.00","31","16","13","16","11","10","1 - Computers/Internet (100.00%)","0","0","0","0","16","15","0","16","9","","0","[Estonian - 100.00%]","30","0","0","0","0","0","0","0","0","0","0","0","0","1795","1496","299","1534","1271","264","1720","1430","290","0","PA","US","beauty>us-city","2018-11-21 13:14","registered",
