"deeplink","Domain","host","tld","domaincc","keywords","LE","BL","DP","LP","CCP","IPP","ABY","ACR","WBY","Registrar","Alexa","QCR","Dmoz","Add Date","C","N","O","B","I","D","US","COM.AU","CA","UK","CO.UK","CO","EU","IN","CO.IN","AT","CH","BE","NL","DK","FR","PL","ES","PT","IT","ME","TV","IO","CN","RU","SE","NU","TLDs Reg","TLDs Reg32","TLDs Free32","SG","CO","CPC","SDE","CODE","CPCDE","SUS","COUS","CPCUS","SUK","COUK","CPCUK","MMGR","MMIP","MMCP","SQI","NFB","NTW","CF","TF","TR","MBL","MIU","MCU","MDP","MIP","MCP","TTF","MODE","MOLE","MOLI","MOLP","MRDL","MRDF","MRDH","MRDD","MRDS","ML","MLTP","MRL","MRLP","MDPE","MBLE","MDPG","MBLG","MDPEE","MBLEE","MDPGE","MBLGE","SRUSR","SRUSK","SRUST","SRUSC","RDT","RDS","RDE","RDT COM","RDS COM","RDE COM","RDT CNO","RDS CNO","RDE CNO","WPL","GEO","GEOC","GEOD","End Date",
"https://www.expireddomains.net/goto/1/1si09w/7/?tr=export","ipho2012.ee","ipho2012","ee","ipho2012.ee","Ip Ho","8","345955","59","1193","45","47","2011-03-21","152","2010-07-04","Hariduse Infotehnoloogia Sihtasutus TP 007303","17711844","0","no","1542641777","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","1","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","taken","26","15","1.73","345955","391","343","653","175","161","15 - Science/Physics (85.65%), 11 - Science (5.19%), 11 - Science/Chemistry (5.04%), 10 - Science/Math (1.82%), 10 - Regional/Asia (1.52%)","2","4","16","148","636","623","3","653","53","[English - 96.90%], [Estonian - 3.00%]","0","[Japanese - 98.60%], [Spanish/Castilian - 0.50%], [Czech - 0.40%], [English - 0.20%]","0","5","62","0","0","1","1","0","0","10918309","59","3","0","0","0","0","0","0","0","0","0","0","16","","","","2018-12-19",
"https://www.expireddomains.net/goto/1/1sco31/7/?tr=export","3plus.ee","3plus","ee","3Plus.ee","Plus","5","36284","40","1357","20","22","2006-11-06","280","2010-07-04","IP Mirror Pte Ltd","0","0","no","1542123308","registered","registered","registered","registered","registered","registered","registered","available","registered","available","available","registered","registered","available","available","registered","registered","registered","registered","registered","available","registered","available","available","available","registered","registered","available","registered","registered","registered","available","53","21","11","1000000","15","0.06 USD","33100","8","0.02 EUR","40500","6","1.86 USD","12100","4","0.21 GBP","0","0","0","0","taken","taken","20","26","0.77","36284","3536","3529","73","59","55","26 - Arts/Radio (97.96%), 16 - Arts/Television (0.83%), 15 - Computers/Internet (0.46%), 15 - News/Media Industry (0.37%), 13 - Business (0.12%)","1","1","0","3271","62","54","4","73","18","","0","[Estonian - 99.30%], [English - 0.30%], [Russian - 0.10%]","0","0","0","0","0","0","0","0","0","0","0","0","0","462","189","273","359","162","198","435","180","255","7","","","","2018-12-13",
"https://www.expireddomains.net/goto/1/62vtxj/7/?tr=export","cake.ee","cake","ee","Cake.ee","Cake","4","31174","0","0","0","0","2017-04-27","3","2012-10-25","Zone Media OÜ","0","0","no","1541950330","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","221","29","3","1500000","22","0.20 USD","9900","8","0.48 EUR","301000","33","0.76 USD","90500","22","0.33 GBP","0","0","0","10","available","taken","6","2","3.00","31174","1004","421","95","92","91","2 - Recreation/Travel (97.52%), 1 - Business/Business Services (2.46%)","0","0","7","258","86","48","0","95","19","[Russian - 100.00%]","0","[English - 99.40%], [French - 0.10%]","0","1","108","0","0","0","0","0","0","0","0","0","0","36053","15415","20638","31861","13596","18266","35208","15044","20164","0","","","","2018-12-11",
"https://www.expireddomains.net/goto/1/1tfixr/7/?tr=export","planb.ee","planb","ee","planb.ee","Pl Anb","5","17872","14","8002","14","6","2007-01-18","97","2013-10-10","Zone Media OÜ","0","0","no","1540564810","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","211","31","1","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","taken","11","7","1.57","17872","2625","882","52","31","26","7 - Business/Construction and Maintenance (99.16%), 4 - Recreation/Travel (0.83%)","3","3","26","391","49","42","27","52","6","[Estonian - 61.60%], [English - 19.70%], [Russian - 18.20%], [Norwegian Nynorsk - 0.20%]","0","[Russian - 81.40%], [Estonian - 16.50%], [English - 1.80%], [Tatar - 0.10%]","0","0","0","0","0","0","0","0","0","45925913","8","0","0","3842","2902","940","3035","2304","732","3625","2756","869","0","","","","2018-11-25",
"https://www.expireddomains.net/goto/1/91l51w/7/?tr=export","numberone.ee","numberone","ee","NumberOne.ee","Number One","9","13885","2","6","2","2","2015-11-16","37","2015-11-03","Wavecom AS","18320277","0","no","1542641792","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","available","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","149","30","2","135000","1","0.31 USD","3600","1","0.27 EUR","14800","1","0.26 USD","3600","0","0.49 GBP","0","0","0","10","taken","taken","21","16","1.31","13885","1204","226","18","18","18","16 - Games/Gambling (99.83%), 8 - Sports/Soccer (0.08%), 6 - Reference/Education (0.01%)","2","3","25","117","16","17","0","18","10","[English - 62.10%], [Estonian - 37.80%]","0","[English - 40.30%], [Estonian - 30.80%], [Russian - 28.60%]","0","0","0","0","0","0","0","0","0","19085008","8","0","0","2348","1680","668","2051","1491","561","2280","1639","641","0","","","","2018-12-19",
"https://www.expireddomains.net/goto/1/1uddnp/7/?tr=export","elektroonikapood.ee","elektroonikapood","ee","elektroonikapood.ee","Elektro Oni Kapo Od","16","13425","5","10","4","4","2009-03-23","74","2010-07-04","Zone Media OÜ","17660856","0","no","1541950303","available","available","available","available","available","available","available","available","available","available","available","available","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","2","1","31","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","10","available","available","21","7","3.00","13425","107","97","19","17","16","7 - Computers/Education (91.42%), 5 - Reference/Education (5.64%), 5 - Arts/Music (2.85%)","0","0","0","0","18","14","0","19","6","","0","[English - 53.60%], [Estonian - 21.70%], [Russian - 19.20%], [Latvian - 5.20%], [Lithuanian - 0.10%]","0","0","0","0","0","0","0","0","0","21676475","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-12-11",
"https://www.expireddomains.net/goto/1/1td8rn/7/?tr=export","keskmaa.ee","keskmaa","ee","keskmaa.ee","keskmaa","7","10839","23","3825","23","21","2004-01-04","122","2014-10-10","Zone Media OÜ","0","0","no","1540564810","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","19","17","1.12","10839","40387","23860","73","49","42","17 - Arts/Literature (98.78%), 10 - Science/Social Sciences (0.80%), 8 - Arts/Movies (0.12%), 8 - Business (0.08%), 7 - Society/People (0.03%)","1","4","20","7922","69","57","2","73","17","[Estonian - 99.60%], [English - 0.10%], [Russian - 0.10%]","0","[Estonian - 97.40%], [English - 2.10%], [Spanish/Castilian - 0.10%]","0","0","0","0","0","0","0","0","0","14710335","9","0","0","0","0","0","0","0","0","0","0","0","9","","","","2018-11-25",
"https://www.expireddomains.net/goto/1/62zoxq/7/?tr=export","maga.ee","maga","ee","Maga.ee","Maga","4","9788","6","1607","6","4","2016-10-25","18","2016-10-14","Compic OÜ","8553480","0","no","1540913968","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","163","32","0","246000","5","0.60 USD","2900","1","0.71 EUR","110000","8","0.62 USD","8100","0","0.00 GBP","0","0","0","10","available","taken","16","22","0.73","9788","2786","1108","14","13","13","22 - News/Media Industry (99.93%), 9 - Computers/Internet (0.02%)","1","2","36","344","14","10","2","14","2","[Russian - 100.00%]","0","[Russian - 100.00%]","0","0","0","0","0","0","0","0","0","0","0","0","0","18483","15374","3109","15460","12890","2571","17710","14739","2971","0","","","","2018-11-29",
"https://www.expireddomains.net/goto/1/23dus9/7/?tr=export","maratonitiim.ee","maratonitiim","ee","maratonitiim.ee","Ma RaToni TiIm","12","8781","114","13698","94","99","2012-04-18","44","2011-11-03","Zone Media OÜ","0","0","no","1542641777","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","1","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","16","0","0.00","8781","1911","464","18","17","17","-","0","0","0","0","17","15","1","18","2","","0","[English - 99.20%], [Portuguese - 0.40%], [Estonian - 0.10%]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","2018-12-19",
"https://www.expireddomains.net/goto/1/1t3cw1/7/?tr=export","eco-net.ee","eco-net","ee","Eco-Net.ee","Eco Net","7","8210","13","2054","13","11","2007-10-24","84","2010-07-04","Zone Media OÜ","0","0","no","1540651205","registered","available","registered","registered","available","registered","available","registered","registered","available","registered","available","registered","available","available","available","registered","available","available","registered","registered","available","available","available","available","registered","available","available","available","registered","available","registered","18","14","18","1300","5","0.30 USD","20","2","0.00 EUR","140","14","0.66 USD","20","0","0.00 GBP","0","0","0","0","taken","available","8","12","0.67","8210","5049","4696","19","17","15","12 - Computers/Internet (75.10%), 10 - Society/Government (24.55%), 6 - Computers/Education (0.10%), 5 - Computers/Internet/Web Design and Development (0.04%), 5 - Computers/Internet/On the Web (0.03%)","3","5","52","4449","18","15","0","19","9","[Estonian - 88.50%], [English - 11.40%]","0","[English - 93.60%], [Estonian - 6.30%]","0","1","1","0","0","0","0","0","0","26019094","2","0","0","26","14","12","17","8","10","24","13","11","0","","","","2018-11-26",
