"deeplink";"Domain";"host";"tld";"domaincc";"keywords";"LE";"BL";"DP";"LP";"CCP";"IPP";"ABY";"ACR";"WBY";"Registrar";"Alexa";"QCR";"Dmoz";"Add Date";"C";"N";"O";"B";"I";"D";"US";"COM.AU";"CA";"UK";"CO.UK";"CO";"EU";"IN";"CO.IN";"AT";"CH";"BE";"NL";"DK";"FR";"PL";"ES";"PT";"IT";"ME";"TV";"IO";"CN";"RU";"SE";"NU";"TLDs Reg";"TLDs Reg32";"TLDs Free32";"SG";"CO";"CPC";"SDE";"CODE";"CPCDE";"SUS";"COUS";"CPCUS";"SUK";"COUK";"CPCUK";"MMGR";"MMIP";"MMCP";"SQI";"NFB";"NTW";"CF";"TF";"TR";"MBL";"MIU";"MCU";"MDP";"MIP";"MCP";"TTF";"MODE";"MOLE";"MOLI";"MOLP";"MRDL";"MRDF";"MRDH";"MRDD";"MRDS";"ML";"MLTP";"MRL";"MRLP";"MDPE";"MBLE";"MDPG";"MBLG";"MDPEE";"MBLEE";"MDPGE";"MBLGE";"SRUSR";"SRUSK";"SRUST";"SRUSC";"RDT";"RDS";"RDE";"RDT COM";"RDS COM";"RDE COM";"RDT CNO";"RDS CNO";"RDE CNO";"WPL";"GEO";"GEOC";"GEOD";"End Date";
"https://www.expireddomains.net/goto/1/1spp8f/7/?tr=export";"klikivabrik.ee";"klikivabrik";"ee";"klikivabrik.ee";"Klik Iva Brik";"11";"177257";"12192";"20";"23";"11";"2007-05-26";"69";"2010-07-04";"Zone Media OÜ";"0";"0";"no";"1539700777";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"1";"0";"32";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"available";"13";"15";"0.87";"177257";"767";"247";"54";"51";"32";"13 - Recreation/Travel (41.37%), 13 - Computers/Internet/On the Web (40.33%), 11 - Arts/Movies (9.08%), 11 - Computers/Internet (7.60%), 8 - Home/Entertaining (0.67%)";"11";"65";"61";"177";"49";"44";"9";"54";"11";"[Estonian - 80.60%], [English - 19.30%]";"0";"[Estonian - 94.00%], [English - 5.10%], [Russian - 0.80%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23765929";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"";"";"";"2018-11-15";
"https://www.expireddomains.net/goto/1/1tfixr/7/?tr=export";"planb.ee";"planb";"ee";"planb.ee";"Pl Anb";"5";"17872";"8002";"6";"14";"5";"2007-01-18";"97";"2013-10-10";"Zone Media OÜ";"0";"0";"no";"1540564810";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"207";"31";"1";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"taken";"taken";"11";"7";"1.57";"17872";"2625";"882";"52";"31";"26";"7 - Business/Construction and Maintenance (99.16%), 4 - Recreation/Travel (0.83%)";"3";"3";"26";"391";"49";"42";"27";"52";"6";"[Estonian - 61.60%], [English - 19.70%], [Russian - 18.20%], [Norwegian Nynorsk - 0.20%]";"0";"[Russian - 81.40%], [Estonian - 16.50%], [English - 1.80%], [Tatar - 0.10%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45925913";"8";"0";"0";"3842";"2902";"940";"3035";"2304";"732";"3625";"2756";"869";"0";"";"";"";"2018-11-25";
"https://www.expireddomains.net/goto/1/26d49r/7/?tr=export";"landmann.ee";"landmann";"ee";"landmann.ee";"Landmann";"8";"5087";"4394";"1";"5";"1";"2002-06-24";"105";"2016-09-16";"Elkdata OÜ";"0";"0";"no";"1538491161";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"available";"registered";"registered";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"available";"registered";"available";"registered";"registered";"registered";"registered";"52";"26";"6";"14800";"91";"0.38 USD";"4400";"48";"0.36 EUR";"720";"73";"1.83 USD";"720";"100";"0.48 GBP";"0";"0";"0";"0";"available";"taken";"17";"6";"2.83";"5087";"8";"8";"14";"8";"8";"5 - Recreation/Travel (36.80%), 5 - Shopping/Consumer Electronics (30.63%), 4 - Shopping/Tools (8.86%), 4 - Science/Agriculture (7.92%), 4 - Business/Directories (4.37%)";"0";"0";"0";"0";"14";"11";"7";"14";"1";"";"0";"[Norwegian - 24.40%], [Swedish - 22.30%], [Finnish - 18.80%], [Danish - 17.90%], [Lithuanian - 5.70%], [Latvian - 5.30%], [Estonian - 5.30%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"104";"51";"53";"83";"40";"44";"96";"47";"49";"0";"";"";"";"2018-11-01";
"https://www.expireddomains.net/goto/1/1td8rn/7/?tr=export";"keskmaa.ee";"keskmaa";"ee";"keskmaa.ee";"keskmaa";"7";"10878";"3825";"21";"23";"19";"2004-01-04";"122";"2014-10-10";"Zone Media OÜ";"0";"0";"no";"1540564810";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"1";"0";"32";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"available";"14";"15";"0.93";"10878";"48716";"32081";"72";"52";"45";"15 - Arts/Literature (70.86%), 13 - Computers/Internet (27.91%), 9 - Science/Social Sciences (0.78%), 7 - Arts/Movies (0.12%), 7 - Business (0.07%)";"1";"4";"22";"8916";"67";"54";"2";"72";"17";"[Estonian - 99.60%], [English - 0.10%], [Russian - 0.10%]";"0";"[Estonian - 97.40%], [English - 2.20%], [Latvian - 0.10%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14710335";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"";"";"";"2018-11-25";
"https://www.expireddomains.net/goto/1/1t3cw1/7/?tr=export";"eco-net.ee";"eco-net";"ee";"Eco-Net.ee";"Eco Net";"7";"8210";"2054";"11";"13";"10";"2007-10-24";"84";"2010-07-04";"Zone Media OÜ";"0";"0";"no";"1540651205";"registered";"available";"registered";"registered";"available";"registered";"available";"registered";"registered";"available";"registered";"available";"registered";"available";"available";"available";"registered";"available";"available";"registered";"registered";"available";"available";"available";"available";"registered";"available";"available";"available";"registered";"available";"registered";"19";"14";"18";"1300";"5";"0.30 USD";"20";"2";"0.00 EUR";"140";"14";"0.66 USD";"20";"0";"0.00 GBP";"0";"0";"0";"0";"taken";"available";"8";"12";"0.67";"8210";"5049";"4696";"19";"17";"15";"12 - Computers/Internet (75.10%), 10 - Society/Government (24.55%), 6 - Computers/Education (0.10%), 5 - Computers/Internet/Web Design and Development (0.04%), 5 - Computers/Internet/On the Web (0.03%)";"3";"5";"52";"4449";"18";"15";"0";"19";"9";"[Estonian - 88.50%], [English - 11.40%]";"0";"[English - 93.60%], [Estonian - 6.30%]";"0";"1";"1";"0";"0";"0";"0";"0";"0";"26019094";"2";"0";"0";"26";"14";"12";"17";"8";"10";"24";"13";"11";"0";"";"";"";"2018-11-26";
"https://www.expireddomains.net/goto/1/277n80/7/?tr=export";"underground.ee";"underground";"ee";"Underground.ee";"Underground";"11";"1495";"1639";"1";"1";"1";"2002-08-24";"72";"2017-09-26";"Wavecom AS";"0";"0";"no";"1539355023";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"213";"30";"2";"301000";"2";"0.17 USD";"6600";"2";"0.07 EUR";"40500";"1";"0.89 USD";"40500";"10";"0.14 GBP";"0";"0";"0";"0";"taken";"taken";"12";"7";"1.71";"1495";"8";"3";"11";"11";"9";"7 - Computers/Internet (68.43%), 6 - Arts (25.89%), 5 - Regional/Europe (3.07%), 4 - Arts/Music (0.95%), 4 - Reference/Museums (0.83%)";"2";"2";"0";"1";"11";"8";"1";"11";"4";"";"0";"[Estonian - 93.30%], [English - 6.20%], [Czech - 0.40%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12932";"5765";"7167";"10466";"4740";"5727";"12587";"5623";"6964";"0";"PA";"US";"ground>us-city-partial";"2018-11-11";
"https://www.expireddomains.net/goto/1/1udlf6/7/?tr=export";"ailustuudio.ee";"ailustuudio";"ee";"ailustuudio.ee";"ailustuudio";"11";"689";"1402";"5";"4";"5";"2008-12-09";"53";"2013-10-10";"Zone Media OÜ";"12427746";"0";"no";"1540564811";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"1";"0";"32";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"available";"8";"2";"4.00";"689";"13";"11";"15";"15";"13";"2 - Arts/Entertainment (93.13%), 1 - Computers/Internet/Chat (6.83%)";"0";"0";"0";"0";"15";"13";"1";"15";"5";"";"0";"[Finnish - 95.90%], [Estonian - 4.00%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"0";"";"";"";"2018-11-25";
"https://www.expireddomains.net/goto/1/1syt5m/7/?tr=export";"vestnik.ee";"vestnik";"ee";"vestnik.ee";"Vest Nik";"7";"7571";"1011";"16";"18";"13";"2006-11-10";"90";"2013-10-11";"Zone Media OÜ";"0";"0";"no";"1540651205";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"available";"registered";"registered";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"registered";"available";"available";"available";"available";"registered";"available";"available";"registered";"available";"available";"44";"14";"18";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"taken";"taken";"18";"8";"2.25";"7571";"2265";"2184";"57";"56";"49";"8 - Computers/Internet (99.62%), 4 - Society/Government (0.21%), 3 - Reference/Education (0.05%), 3 - Business/Business Services (0.01%)";"1";"2";"26";"1549";"56";"46";"6";"57";"14";"[Tatar - 49.50%], [Serbian - 36.10%], [Russian - 14.20%]";"0";"[Russian - 66.70%], [Estonian - 17.30%], [English - 8.90%], [Latvian - 2.60%], [Lithuanian - 1.90%], [Finnish - 1.90%], [German - 0.10%]";"0";"1";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"159";"77";"82";"115";"57";"59";"135";"64";"71";"10";"";"";"";"2018-11-26";
"https://www.expireddomains.net/goto/1/226qvv/7/?tr=export";"webcode.ee";"webcode";"ee";"WebCode.ee";"Web Code";"7";"1421";"867";"7";"14";"6";"2011-10-27";"58";"2011-10-13";"Virtuaal.com OÜ";"0";"0";"no";"1540827590";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"available";"registered";"84";"28";"4";"4400";"9";"1.75 USD";"590";"4";"0.46 EUR";"720";"15";"3.53 USD";"210";"11";"3.20 GBP";"0";"0";"0";"0";"taken";"taken";"10";"9";"1.11";"1421";"21";"18";"368";"31";"28";"9 - Computers/Internet (99.83%), 4 - Computers/Education (0.04%)";"6";"6";"1";"2";"364";"366";"2";"368";"2";"[Estonian - 100.00%]";"0";"[Estonian - 89.10%], [English - 10.80%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13800942";"4";"1";"0";"323";"234";"89";"266";"196";"71";"308";"223";"85";"0";"";"";"";"2018-11-28";
"https://www.expireddomains.net/goto/1/4v584m/7/?tr=export";"oiguskoda.ee";"oiguskoda";"ee";"oiguskoda.ee";"Oi GuSkoda";"9";"1649";"768";"14";"14";"13";"2011-03-01";"41";"2010-07-04";"Zone Media OÜ";"0";"0";"no";"1539787098";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"1";"0";"32";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"available";"8";"5";"1.60";"1649";"248";"90";"36";"34";"32";"5 - Arts/Music (82.68%), 4 - Arts (14.91%), 3 - Business/Marketing and Advertising (1.66%), 2 - Arts/Visual Arts (0.32%), 2 - Arts/Digital (0.30%)";"6";"7";"9";"12";"34";"32";"6";"36";"8";"[Estonian - 100.00%]";"0";"[English - 79.00%], [Japanese - 6.60%], [Italian - 6.30%], [French - 5.20%], [Arabic - 0.80%], [Estonian - 0.80%], [Swedish - 0.30%], [German - 0.30%], [Portuguese - 0.10%], [Russian - 0.10%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"2018-11-16";
